"Simple_ID","Exposure_ID","Death_timing","Pre_exp_ID","Exposure_type","Exposure_start","Exposure_duration","Animal_type","Death_date","Batch","Notes","Erin_ID","Well_1","Well_2","Well_3","Status","MeanCopy","Well_1_1","Well_2_1","Well_3_1","Status_1","MeanCopy_1","MeanCopyFinal","Exposure_duration_numerical","logMeanCopyFinalPlus1","MeanCopyFinalPlus1","Trio_ID","Larval_condition","Final_status","Final_status_binomial"
"MR320","ALS.SH.24.5","Euthanization","ALS5","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,40,109061240,107958552,108545552,"Pos",108521781.3,NA,NA,NA,NA,NA,108521781.3,24,8.03551691775357,108521782.3,"ALS.24.5","ALS","Pos","1"
"MR319","ALS.SH.24.4","Euthanization","ALS13","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,41,13968070,13963463,13261679,"Pos",13731070.67,NA,NA,NA,NA,NA,13731070.67,24,7.13770443397416,13731071.67,"ALS.24.4","ALS","Pos","1"
"MR318","AHS.SH.24.5","Euthanization","AHS9","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,34,10692033,9273069,9460471,"Pos",9808524.333,NA,NA,NA,NA,NA,9808524.333,24,6.99160371809535,9808525.333,"AHS.24.5","AHS","Pos","1"
"MR317","AHS.SH.24.4","Euthanization","AHS9","Shared",2021-07-11,"24hr","Naive",2021-07-17,2,NA,33,17698500,16755230,16495396,"Pos",16983042,NA,NA,NA,NA,NA,16983042,24,7.23001550921204,16983043,"AHS.24.4","AHS","Pos","1"
"MR178","ELS.SQ.12.3","Euthanization","ELS1","Sequential",2021-06-27,"12hr","Naive",2021-07-04,1,NA,406,898243,930461,877410.73,"Pos",902038.2433,NA,NA,NA,NA,NA,902038.2433,12,5.95522543197421,902039.2433,"ELS.12.3","ELS","Pos","1"
"MR174","EHS.SQ.12.2","Euthanization","EHS3","Sequential",2021-06-27,"12hr","Naive",2021-07-04,1,NA,407,1109730,1099274,987209,"Pos",1065404.333,NA,NA,NA,NA,NA,1065404.333,12,6.02751486636159,1065405.333,"EHS.12.2","EHS","Pos","1"
"MR173","EHS.SQ.12.1","Euthanization","EHS5","Sequential",2021-06-27,"12hr","Naive",2021-07-04,1,NA,408,717448,699043.3963,752091.7302,"Pos",722861.0422,NA,NA,NA,NA,NA,722861.0422,12,5.8590554203537,722862.0422,"EHS.12.1","EHS","Pos","1"
"MR172","AHS.SQ.12.1","Euthanization","AHS4","Sequential",2021-06-27,"12hr","Naive",2021-07-04,1,NA,409,2197086,1957621.38,2026451.022,"Pos",2060386.134,NA,NA,NA,NA,NA,2060386.134,12,6.31394882928355,2060387.134,"AHS.12.1","AHS","Pos","1"
"MR171","AHS.SQ.12.2","Euthanization","AHS3","Sequential",2021-06-27,"12hr","Naive",2021-07-04,1,NA,410,448372.1173,529086,489041.7,"Pos",488833.2724,NA,NA,NA,NA,NA,488833.2724,12,5.68916164689165,488834.2724,"AHS.12.2","AHS","Pos","1"
"MR164","ELS.SQ.48.2","Euthanization","ELS5","Sequential",2021-06-29,"48hr","Naive",2021-07-06,1,NA,411,7921355,8109292,7739671,"Pos",7923439.333,NA,NA,NA,NA,NA,7923439.333,48,6.89891379184458,7923440.333,"ELS.48.2","ELS","Pos","1"
"MR163","ELS.SQ.48.1","Euthanization","ELS5","Sequential",2021-06-29,"48hr","Naive",2021-07-06,1,NA,412,9486654,10134667,9240776,"Pos",9620699,NA,NA,NA,NA,NA,9620699,48,6.9832066723577,9620700,"ELS.48.1","ELS","Pos","1"
"MR160","EHS.SQ.48.3","Euthanization","EHS3","Sequential",2021-06-29,"48hr","Naive",2021-07-06,1,NA,413,4287702,5012097.112,4881363.3,"Pos",4727054.137,NA,NA,NA,NA,NA,4727054.137,48,6.67459066800107,4727055.137,"EHS.48.3","EHS","Pos","1"
"MR155","ELS.SQ.24.1","Euthanization","ELS5","Sequential",2021-06-28,"24hr","Naive",2021-07-05,1,NA,414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,"ELS.24.1","ELS",NA,NA
"MR151","EHS.SQ.24.2","Euthanization","EHS3","Sequential",2021-06-28,"24hr","Naive",2021-07-05,1,NA,415,729086.148,809212,794502.67,"Pos",777600.2727,NA,NA,NA,NA,NA,777600.2727,24,5.89075696272858,777601.2727,"EHS.24.2","EHS","Pos","1"
"MR149","AHS.SQ.24.3","Euthanization","NAHS.SQ.24.3","Sequential",2021-06-28,"24hr","Naive",2021-07-05,1,NA,416,2367930.98,1984066,2155471.39,"Pos",2169156.123,NA,NA,NA,NA,NA,2169156.123,24,6.33629101129516,2169157.123,"AHS.24.3","AHS","Pos","1"
"MR148","AHS.SQ.24.2","Euthanization","AHS3","Sequential",2021-06-28,"24hr","Naive",2021-07-05,1,NA,417,457891,503446.014,490112.595,"Pos",483816.5363,NA,NA,NA,NA,NA,483816.5363,24,5.68468160561391,483817.5363,"AHS.24.2","AHS","Pos","1"
"MR147","AHS.SQ.24.1","Euthanization","AHS3","Sequential",2021-06-28,"24hr","Naive",2021-07-05,1,NA,418,808723.6439,760362.44,750019,"Pos",773035.028,NA,NA,NA,NA,NA,773035.028,24,5.88819973505283,773036.028,"AHS.24.1","AHS","Pos","1"
"MR146","ALS.SQ.24.2","Euthanization","ALS10","Sequential",2021-06-28,"24hr","Naive",2021-07-05,1,NA,419,805059.6,779140.729,808659,"Pos",797619.7763,NA,NA,NA,NA,NA,797619.7763,24,5.901796457885,797620.7763,"ALS.24.2","ALS","Pos","1"
"MR145","ALS.SQ.24.1","Euthanization","ALS10","Sequential",2021-06-28,"24hr","Naive",2021-07-05,1,NA,420,100828.052,1099430.105,987466,"Pos",729241.3857,NA,NA,NA,NA,NA,729241.3857,24,5.86287190318186,729242.3857,"ALS.24.1","ALS","Pos","1"
"MR132","EHS.SQ.6.1","Euthanization","EHS5","Sequential",2021-06-27,"6hr","Naive",2021-07-04,1,NA,421,7894.616,80144,7916.033,"Pos",31984.883,NA,NA,NA,NA,NA,31984.883,6,4.5049583443215,31985.883,"EHS.6.1","EHS","Pos","1"
"MR131","ALS.SQ.6.1","Euthanization","ALS10","Sequential",2021-06-27,"6hr","Naive",2021-07-04,1,NA,422,10.73702335,16.87513733,22.56175423,"Pos",16.7246383,NA,NA,NA,NA,NA,16.7246383,6,1.24857738146205,17.7246383,"ALS.6.1","ALS","Pos","1"
"MR130","ALS.SQ.6.2","Euthanization","ALS10","Sequential",2021-06-27,"6hr","Naive",2021-07-04,1,NA,423,5119.334,4808.20346,5092.925,"Pos",5006.82082,NA,NA,NA,NA,NA,5006.82082,6,3.69964878140896,5007.82082,"ALS.6.2","ALS","Pos","1"
"MR129","ALS.SQ.6.3","Euthanization","ALS10","Sequential",2021-06-27,"6hr","Naive",2021-07-04,1,NA,424,7219,7094.0471,5928.1172,"Pos",6747.054767,NA,NA,NA,NA,NA,6747.054767,6,3.82917859865173,6748.054767,"ALS.6.3","ALS","Pos","1"
"MR127","ALS.SH.48.2","Euthanization","TALS","Shared",2021-06-27,"48hr","Naive",2021-07-04,1,NA,425,11208466,10988240,10782005,"Pos",10992903.67,NA,NA,NA,NA,NA,10992903.67,48,7.04111246180261,10992904.67,"ALS.48.2","ALS","Pos","1"
"MR123","ELS.SH.48.2","Euthanization","NELS.SH.48.2","Shared",2021-06-27,"48hr","Naive",2021-07-04,1,NA,426,6288936,6092221.5,5978043,"Pos",6119733.5,NA,NA,NA,NA,NA,6119733.5,48,6.78673258102038,6119734.5,"ELS.48.2","ELS","Pos","1"
"MR118","AHS.SQ.1.3","Euthanization","AHS4","Sequential",2021-06-27,"1hr","Naive",2021-07-04,1,NA,427,0,14.078,0,"Redo",NA,48.038,72.064,0,"Pos",22.36333333,22.36333333,1,1.36853480520192,23.36333333,"AHS.1.3","AHS","Pos","1"
